VLAN,Label,IPv6 Net,IPv4 Net
0,RESERVED,Not Registered,Not Registered
1001,NET-1,fd8d:6ff2:7bc:1,192.168.1.0
1002,NET-2,fd8d:6ff2:7bc:2,192.168.2.0
1003,NET-3,fd8d:6ff2:7bc:3,192.168.3.0
1004,NET-4,fd8d:6ff2:7bc:4,192.168.4.0
1005,IPS Sensor Network,fd8d:6ff2:7bc:5,192.168.5.0
1006,UNTRUSTED/LAB-1,fd8d:6ff2:7bc:6,192.168.6.0
1007,UNTRUSTED/LAB-2,fd8d:6ff2:7bc:7,192.168.7.0
1008,UNTRUSTED/LAB-3,fd8d:6ff2:7bc:8,192.168.8.0
1009,UNTRUSTED/LAB-4,fd8d:6ff2:7bc:9,192.168.9.0
1010,MGMT,fd8d:6ff2:7bc:10,192.168.10.0
1011,PHONE/VoIP,fd8d:6ff2:7bc:11,192.168.11.0
1012,RESERVED-1,fd8d:6ff2:7bc:12,192.168.12.0
1013,RESERVED-2,fd8d:6ff2:7bc:13,192.168.13.0
1014,RESERVED-3,fd8d:6ff2:7bc:14,192.168.14.0
1015,SAN,fd8d:6ff2:7bc:15,192.168.15.0
1016,LEGACY-1,fd8d:6ff2:7bc:16,"192.168.16.0        (*IPX, AppleTalk)"
1017,LEGACY-2,fd8d:6ff2:7bc:17,192.168.17.0        (*IP-Only)
1018,LEGACY-3,fd8d:6ff2:7bc:18,192.168.18.0
1019,LEGACY-4,fd8d:6ff2:7bc:19,192.168.19.0
1020,LEGACY-5,fd8d:6ff2:7bc:20,192.168.20.0
1021,SEC/IOT-ZONE-1,fd8d:6ff2:7bc:21,192.168.21.0        (*AV)
1022,SEC/IOT-ZONE-2,fd8d:6ff2:7bc:22,192.168.22.0        (*Ecobee)
1023,SEC/IOT-ZONE-3,fd8d:6ff2:7bc:23,192.168.23.0        (*ADT)
1024,SEC/IOT-ZONE-4,fd8d:6ff2:7bc:24,192.168.24.0        (*Lorex)
1025,SEC/IOT-ZONE-5,fd8d:6ff2:7bc:25,192.168.25.0        (*Schlage)
1026,SEC/IOT-ZONE-6,fd8d:6ff2:7bc:26,192.168.26.0        (*Feit Elec.)
1027,SEC/IOT-ZONE-7,fd8d:6ff2:7bc:27,192.168.27.0        (*Orbit/B-Hyve)
1028,SEC/IOT-ZONE-8,fd8d:6ff2:7bc:28,192.168.28.0        (*Blueair)
1029,SEC/IOT-ZONE-9,fd8d:6ff2:7bc:29,192.168.29.0        (*Hatch)
1030,SEC/IOT-ZONE-10,fd8d:6ff2:7bc:30,192.168.30.0        (*Ecoflow)
1031,SEC/IOT-ZONE-11,fd8d:6ff2:7bc:31,192.168.31.0
1032,SEC/IOT-ZONE-12,fd8d:6ff2:7bc:32,192.168.32.0
1033,SEC/IOT-ZONE-13,fd8d:6ff2:7bc:33,192.168.33.0
1034,SEC/IOT-ZONE-14,fd8d:6ff2:7bc:34,192.168.34.0
1035,SEC/IOT-ZONE-15,fd8d:6ff2:7bc:35,192.168.35.0
1036,SEC/IOT-ZONE-16,fd8d:6ff2:7bc:36,192.168.36.0
1037,SEC/IOT-ZONE-17,fd8d:6ff2:7bc:37,192.168.37.0
1038,SEC/IOT-ZONE-18,fd8d:6ff2:7bc:38,192.168.38.0
1039,SEC/IOT-ZONE-19,fd8d:6ff2:7bc:39,192.168.39.0
1040,SEC/IOT-ZONE-20,fd8d:6ff2:7bc:40,192.168.40.0
1041,RESERVED-1,fd8d:6ff2:7bc:41,192.168.41.0
1042,RESERVED-2,fd8d:6ff2:7bc:42,192.168.42.0
1043,RESERVED-3,fd8d:6ff2:7bc:43,192.168.43.0
1044,RESERVED-4,fd8d:6ff2:7bc:44,192.168.44.0
1045,RESERVED-5,fd8d:6ff2:7bc:45,192.168.45.0
1046,RESERVED-6,fd8d:6ff2:7bc:46,192.168.46.0
1047,RESERVED-7,fd8d:6ff2:7bc:47,192.168.47.0
1048,RESERVED-8,fd8d:6ff2:7bc:48,192.168.48.0
1049,RESERVED-9,fd8d:6ff2:7bc:49,192.168.49.0
1050,Cloud Access VPN 0,fd8d:6ff2:7bc:50,192.168.50.0/30
1051,Cloud Access VPN 1,fd8d:6ff2:7bc:51,192.168.51.0/30
1052,Cloud Access VPN 2,fd8d:6ff2:7bc:52,192.168.52.0/30
1053,Cloud Access VPN 3,fd8d:6ff2:7bc:53,192.168.53.0/30
1054,Cloud Access VPN 4,fd8d:6ff2:7bc:54,192.168.54.0/30
1055,Cloud Access VPN 5,fd8d:6ff2:7bc:55,192.168.55.0/30
1056,Cloud Access VPN 6,fd8d:6ff2:7bc:56,192.168.56.0/30
1057,Cloud Access VPN 7,fd8d:6ff2:7bc:57,192.168.57.0/30
1058,Cloud Access VPN 8,fd8d:6ff2:7bc:58,192.168.58.0/30
1059,Cloud Access VPN 9,fd8d:6ff2:7bc:59,192.168.59.0/30
1060,Privacy VPN 0,fd8d:6ff2:7bc:60,192.168.60.0/30
1061,Privacy VPN 1,fd8d:6ff2:7bc:61,192.168.61.0/30
1062,Privacy VPN 2,fd8d:6ff2:7bc:62,192.168.62.0/30
1063,Privacy VPN 3,fd8d:6ff2:7bc:63,192.168.63.0/30
1064,Privacy VPN 4,fd8d:6ff2:7bc:64,192.168.64.0/30
1065,Privacy VPN 5,fd8d:6ff2:7bc:65,192.168.65.0/30
1066,Privacy VPN 6,fd8d:6ff2:7bc:66,192.168.66.0/30
1067,Privacy VPN 7,fd8d:6ff2:7bc:67,192.168.67.0/30
1068,Privacy VPN 8,fd8d:6ff2:7bc:68,192.168.68.0/30
